,id,content,Sentiment_updated
0,1,is hangin with the love of my life. Tessa McCravy!!,worry
1,2,I've Got An Urge To Make Music Like Massively.. I'm Going To The Studio,worry
2,3,@lacrossehawty rofl uh huh,neutral
3,4,"@fankri haha! thanks, Tiff   it went well, but they WORE ME OUT!!! lol. im too old for this ;)",happiness
4,5,@alyssaisntcool hahah  i loveeee him though.,neutral
5,6,@bunnydrumming Hi bunny! I recently have subcribed to your channel on YouTube! You make some great stuff. Kinda just wanted to say hi!,happiness
6,7,Watching Gross Point Blank.,neutral
7,8,@elliottp I'll follow anyone who is a sticker for usage.,neutral
8,9,@CChiron Dude you rock,neutral
9,10,"@cassfern yes. and it was REALLY good. even though i am not into sci fi i loved it. &amp; haha, i know.",happiness
10,11,@douglasi TY for FF,neutral
11,12,@brucehoult oh really? why HELLO there,surprise
12,13,happy mother's day to your moms,love
13,14,I'm likable after all HAHAHAHAHAHAHA! Still over the moon,neutral
14,15,"Nice place to eat in sao paulo, brazil  http://twitgoo.com/28hh",happiness
15,16,enjoying my coffee with this super delicious cookie,happiness
16,17,"@JulieAbel I am in Weirton Julie, way up North at the tippy top! LOL we don't think southern WV folks like us too much.",worry
17,18,"@petrilude OMG, you have curly hair! Too cute!",surprise
18,19,awww i bought my mom the cutest things for mothers day  woop woop mee expert shoper,neutral
19,20,Hello to all my new followers..    say hi @ me so i can say its nice to meet you too!,happiness
20,21,watching supernatural  those boys can hunt me any day &lt;3 haha,love
21,22,@ddlovato hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha,love
22,23,Finally home sweet home,relief
23,24,@grabrielRossi which one? On Sportv ? Will connect righ the way,neutral
24,25,"@maryjanewatson I'm trying my dang hardest to not watch the movie again until I finish the book, again.",neutral
25,26,the last song all american rejects.......... an amazing song,sadness
26,27,@Linz__marie lol..french toast sticks too!,love
27,28,check out q100 right now..99.7,neutral
28,29,@MamiTica whatï¿½s hot and new?,neutral
29,30,@kerrisnead FOR REAL!  Isn't it exciting!!!!,happiness
30,31,@ppittman you are not old!!! You're  just comfy! Like worn in sweats! Said with all the love my sarcastic heart can muster....,love
31,32,"at the farm not enjoying cary ann, but loving the company!",love
32,33,http://twitpic.com/4w70j - Left: This is your brain. Right: This is your brain on drugs.,surprise
33,34,chilin with my little brotherrrr  oday was amazing xP,happiness
34,35,@SECTORLI: just had my debut on Thursday @ The Gallery Lounge! It was fun... can't wait to do the next one!!,happiness
35,36,goin out wit shina &amp; gigi . moviez,neutral
36,37,"@dcastellani yes, yes it was",neutral
37,38,@SusanCrenshaw Uh oh!  Hope nothing too damaged.,worry
38,39,is #6 seed in regionals!!,neutral
39,40,Dfizzy if you ever read this Uh i got one question for you ^^ Would you ever date a fan?  Lmao!,worry
40,41,listening to ECHO by Gorilla Zoe ahh love that song,love
41,42,"Today Dan bought me Bio Dome AND the Reality Bites Soundtrack! Needless to say he gets MAYJAH points!  Also, my tummy is not happy. Boo.",sadness
42,43,"Perth - Ford - Falcon - 1997 - $3,500  - new ad received and will be posted on the HCC site soon",neutral
43,44,@corkyloowho i will,neutral
44,45,@AnnCurry those photos are lovely! Who knew you were as talented a photographer as you are a journalist!,love
45,46,@shadrach I'm just following you because we're both wearing Converse,neutral
46,47,"having a creative party with me, myself, and moi",neutral
47,48,@char_anderson hehe   fun tweets !,fun
48,49,@ikovannoy seperate = Yum. Together = gross sounding.,neutral
49,50,@shakeitblueyes good,neutral
50,51,@rachael_kearley That's Twitter for you.,neutral
51,52,Babysitting. Text me and keep me company,worry
52,53,Massive morning.. I'm stuffed now,sadness
53,54,@rsxy ive been spending time w/my momma! we're celebrating mother's day for her early  ive been good! how was woodburn?,happiness
54,55,I'm ACTUALLY on Skype but ssshh don't tell anyone.,neutral
55,56,nachos and the tudors? i think so,neutral
56,57,Downing a glass of ginger ale and then relishing an early evening in bed with &quot;Because I Said So&quot; on Lifetime.,neutral
57,58,"Yeah, I think we've earned it!",neutral
58,59,Chillin out at home enjoying my new house... I must say I love it!!!  Hope your all having a great day!!!,love
59,60,@mommyof3_angels Self-confidence is the first requisite to great undertakings-seems like u r on right track-keep reminding me to follow u,happiness
60,61,"wow are you serious, another draw for the chicago fire, that's 5 in a row. well at least they're not losing game but we need a win soon",surprise
61,62,"bout to have dinner with the Homies. T.G.I Fridays takout, headed bak to the spot.",neutral
62,63,"@yourself_onfire I think Letitia is still trying to upload the digital, they were having problems before. I am sure she will let us know",worry
63,64,The Eagles make saturday nights so much better.,worry
64,65,So the movie was 3-D and really gooood,neutral
65,66,@davemark welcome to the last two years for Flyers fans,neutral
66,67,"Going to bed early... got a lot of important women to visit for Mothers Day tomorrow! PS- As of midnight tonight, HAPPY BDAY BOO BEAR!",happiness
67,68,"says good morning everyone! Once again, a happy mother's day to all the mothers out there!  I hope you all h... http://plurk.com/p/stq3f",love
68,69,@mileycyrus airsoft is so much fun! i play with my brothers and it's a great bonding experience.,happiness
69,70,@musicdotcom model on a pink motorcycle,neutral
70,71,@GregCarter I hear ya. You'll have to go back to work to rest.,sadness
71,72,http://twitpic.com/4w7d2 bwahahahahahaha I am so awesome,happiness
72,73,@GericaQuinn Yay  I Feel Loved  By You And My 113 Creepy Followers.,love
73,74,Wedding..,neutral
74,75,MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,surprise
75,76,@ClawdiaClawdia hey you weirdo! haha jk! I love you!,love
76,77,@SalioElSol08 Haha most def ^__^ Rob a bank with me so i could get all the swedish fishes in the world,neutral
77,78,Chillin at a bbq gettin my drink on,happiness
78,79,at the taste a addison w/ her fav. ppl,neutral
79,80,@akoyamiazaki #steel toe boots - Good to hear that you're comfy. Hopefully they are Kodiak or Terra brand,happiness
80,81,LMAO Twitting... thats never gonna get old haha!,worry
81,82,"'Don't call your mother, 'cause now we're partners in crime.' -KP",worry
82,83,lmfaoooo i fucking love this showwwww,love
83,84,Nice PC Authority review of the Tivo VOD service here: http://bit.ly/Ps7y2  I'm still loving my Tivo,love
84,85,@marqueA2 Amazing.  Thereby proving we cannot believe anything we see,surprise
85,86,"@timhaines making a 1 minute animation  a dramatic tragic story~. 2 characters, no dialogue. emotion with movement and setting/lighting",neutral
86,87,"@bunnymousekitt hahaha, yes, our discussions always seem to jump around randomly",happiness
87,88,@PRGabbi AWW thanks hopefully it is,love
88,89,@columbushort Follow Me,neutral
89,90,Is with our dog at the doggy park!,neutral
90,91,"happy mothers day. @jadeeisabel oh and no i havent read it yet, will do now",worry
91,92,OH EMM GEE!! QUEBEC IN 16 DAYS. I AM SO EXCITED.,happiness
92,93,"Ha. J perfect timing on that message, the cure just came on",happiness
93,94,"@beilaq_sodmq ayee, watcha up to ?",neutral
94,95,"@teemwilliams Michelle, @tamronhall is on here. Don't u miss her being on Fox? I liked your interviews with her.",worry
95,96,"@xstaylor LOL!  Considering the recent debate on DL, I'm not touching the bad boy thing.  I like the logical ones.",worry
96,97,@tracekase GO TO BED!!!,neutral
97,98,gosh! i'm freakin' bored! talk to me!,worry
98,99,@JoyofZen haha. so you are actually doing some cleaning! good actual work!,neutral
99,100,shawty next to me like hella good oowwwww,happiness
100,101,watching Star Trek and next to watch it at the movie theater 'cause the movie is really worth it...,love
101,102,Got moommy somn special for mothers day,love
102,103,k might take long then a minute then,worry
103,104,@khalen it was good. Next time you get oohed you know where to go!,happiness
104,105,@dhgarske ha. nothing any man does is right on mothers day except for taking kids off mum's hands for whole day,neutral
105,106,@heidimontag my saturday was good  i cannot wait until this monday night,worry
106,107,"@buckhollywood did you go to uga? If so, I liked you better before I knew! Ha!",happiness
107,108,iii loove davedays,neutral
108,109,@TaeJun stellar  happy ma's day to them,neutral
109,110,"@aprilyim @nesarajah he's hard to please, methinks he has the picture in his head just fine",worry
110,111,is lets chat,neutral
111,112,Got some beautiful flowers and a mag subscription for Mother's Day  Spoilt! &lt;3,happiness
